filename,dvids_photo_id,title,date_taken,location,original_resolution,photographer_or_credit,page_status,source_url,curation_note
dvids_3263759.jpg,3263759,A high mobility multipurpose wheeled vehicle (HMMWV) sits parked in front of Sequalitchew Lake [Image 14 of 17],2017-03-11,"Joint Base Lewis-McChord, Washington, United States",3872x2592,Spc. Sean F. Harding; U.S. Army Reserve,PUBLIC DOMAIN,https://www.dvidshub.net/image/3263759/high-mobility-multipurpose-wheeled-vehicle-hmmwv-sits-parked-front-sequalitchew-lake,"Vehicle is partially cropped at the right edge; visible body and wheel offer a partial-visibility hard example. Ground-level, lower priority."
dvids_5587.jpg,5587,A humvee shows damage from a mine strike [Image 5 of 5],2005-03-09,"Al Asad, Iraq",2048x1536,Photo courtesy of Sgt. Rick Noble,PUBLIC DOMAIN,https://www.dvidshub.net/image/5587/humvee-shows-damage-mine-strike,"Single armored Humvee fills most of the frame; front-side view with visible mine-strike damage around front wheel/body. Useful damage example; ground-level oblique, not a drone view."
dvids_6490695.jpg,6490695,Connecticut Guard supports Connecticut State Capitol security [Image 1 of 13],2021-01-17,"Hartford, Connecticut, United States",5388x3031,Staff Sgt. Steven Tucker; U.S. Air National Guard,PUBLIC DOMAIN,https://www.dvidshub.net/image/6490695/connecticut-guard-supports-connecticut-state-capitol-security,"One prominent frontal Humvee in an urban street scene, with civilian traffic and a truck in the background. Ground-level; good urban-context negative/background variety."
dvids_7037985.jpg,7037985,Humvee ready for maintenance [Image 1 of 3],2022-02-05,"Mesa, Arizona, United States",2738x1825,Sgt. Peter Martinez; 301st Public Affairs Detachment,PUBLIC DOMAIN,https://www.dvidshub.net/image/7037985/humvee-ready-maintenance,One prominent side/rear Humvee set up for hood inspection; other parked vehicles appear in the background. Ground-level motorpool view.
dvids_7166466.jpg,7166466,HMMWV Maintenance [Image 8 of 9],2022-04-29,"Osan Air Base, South Korea",5026x3344,Tech. Sgt. Zachariah Lopez; U.S. Air Force,PUBLIC DOMAIN,https://www.dvidshub.net/image/7166466/hmmwv-maintenance,One prominent vehicle with hood open and a mechanic partly occluding it; front-side service view with exterior and wheel visible. Ground-level.
dvids_7948783.jpg,7948783,109th MPAD Drivers Training: Day Two [Image 1 of 15],2023-08-01,"Fort Indiantown Gap, Pennsylvania, United States",5840x3893,Spc. Annie M. Riley; U.S. Army National Guard,PUBLIC DOMAIN,https://www.dvidshub.net/image/7948783/109th-mpad-drivers-training-day-two,"Single prominent Humvee in a front three-quarter view on a training road, with grille, lights, windshield and wheels visible. Ground-level."
dvids_8589951.jpg,8589951,Medic: A 469th MCGA combat medic specialist at NS 24-2 [Image 12 of 16],2024-08-11,"Camp Grayling, Michigan, United States",4128x2752,1st Lt. Jonathan W. Padish; U.S. Air National Guard,PUBLIC DOMAIN,https://www.dvidshub.net/image/8589951/medic-469th-mcga-combat-medic-specialist-ns-24-2,"Single ambulance-variant Humvee, prominent front-side view in an open field. Ground-level and close; useful variant and clean-part example."
dvids_8625212.jpg,8625212,OC/T Drives Rough Terrain Drivers Course [Image 9 of 9],2024-07-31,"Fort McCoy, Wisconsin, United States",5317x3545,Staff Sgt. Avery Cunningham; U.S. Army,PUBLIC DOMAIN,https://www.dvidshub.net/image/8625212/oc-t-drives-rough-terrain-drivers-course,"One moving Humvee on a rough road, viewed nearly head-on; terrain context is useful, though the vehicle is smaller in frame. Ground-level."
dvids_9112009.jpg,9112009,Missouri National Guardsmen Conduct a Wet-gap Crossing [Image 7 of 20],2025-06-08,"Macon, Missouri, United States",6720x4480,"DVIDS byline: Sgt. Kathiline Penaranda; caption credit: Sgt. Kathiline Hogan, U.S. Army National Guard",PUBLIC DOMAIN,https://www.dvidshub.net/image/9112009/missouri-national-guardsmen-conduct-wet-gap-crossing,"Single prominent HMMWV after a bridge crossing, oblique front-side view with grille, body, roof and wheels visible. Slightly elevated relative to several picks, but not overhead/drone imagery."
dvids_7951536.jpg,7951536,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951536/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (High Mobility Multipurpose Wheeled Vehicle), commonly known as a Humvee, is parked on a gravel and dirt surface in a wooded area. The vehicle is painted in a three-color woodland camouflage pattern (green, brown, and black) and appears to be in operational condition. The setting suggests a training area, base perimeter road, or off-road terrain course."
dvids_6823052.jpg,6823052,Humvee,2021-09-01,"FORT DRUM, NEW YORK, US",4535x2987,Photo by Pvt. Ethan Scofield,PUBLIC DOMAIN,https://www.dvidshub.net/image/6823052/humvee,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A tan/desert-colored HMMWV (Humvee) military vehicle is positioned on a grass field, draped with camouflage netting. A soldier in full combat gear is manning a mounted weapon system from the roof turret position. The setting appears to be a military demonstration or air show event, evidenced by portable toilets, a timing/observation tower, and spectator infrastructure visible in the background. Review subject prominence, occlusion, and view angle before labeling."
dvids_3106279.jpg,3106279,Humvee,2017-01-17,"FORT IRWIN, CALIFORNIA, US",5616x3744,Photo by Sgt. Michael Spandau,PUBLIC DOMAIN,https://www.dvidshub.net/image/3106279/humvee,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military-style HMMWV (Humvee) is parked in a vast, arid desert landscape surrounded by rocky terrain and sparse desert scrub vegetation. The scene is photographed during golden hour lighting, casting warm tones across the flat, expansive desert floor with distant mountain ranges visible on the horizon. The vehicle appears stationary near a rocky outcropping, positioned on elevated ground overlooking the wide desert plain."
dvids_3106301.jpg,3106301,Humvee,2017-01-17,"FORT IRWIN, CALIFORNIA, US",5616x3744,Photo by Sgt. Michael Spandau,PUBLIC DOMAIN,https://www.dvidshub.net/image/3106301/humvee,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A desert-tan military HMMWV (Humvee) is traversing arid, rocky terrain while towing a military utility trailer. The vehicle appears to be in motion, evidenced by visible exhaust or dust smoke near the rear axle area. The setting appears to be a desert training range or operational environment. Review subject prominence, occlusion, and view angle before labeling."
dvids_7951544.jpg,7951544,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951544/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (High Mobility Multipurpose Wheeled Vehicle), commonly known as a Humvee, is navigating a rocky gravel terrain at an angle, suggesting off-road capability testing or training. The vehicle is painted in a woodland camouflage pattern featuring green, brown, and black tones. It is positioned on an uneven gravel path surrounded by a dense forest environment."
dvids_7951535.jpg,7951535,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951535/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) in woodland camouflage pattern is navigating an off-road terrain course, appearing to traverse a steep embankment or ditch. The vehicle is tilted at an angle with its rear right wheel elevated, suggesting it is crossing uneven ground on what appears to be a military training area. The surrounding environment consists of a deciduous forest with a gravel and dirt path."
dvids_7951545.jpg,7951545,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951545/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) in woodland camouflage paint scheme is navigating an off-road obstacle course or training terrain, with its front end dipped into a dirt trench or depression. The vehicle appears to be on a gravel and dirt surface bordered by a dense deciduous forest. This appears to be a military driver training or vehicle capability demonstration exercise."
dvids_7951542.jpg,7951542,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951542/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) painted in woodland camouflage pattern is navigating a rocky off-road terrain, with its rear end elevated and one rear wheel lifted off the ground. The vehicle is traversing a gravel and dirt path bordered by dense forest. The image captures the vehicle's off-road capability under challenging terrain conditions."
dvids_7951538.jpg,7951538,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951538/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) in woodland camouflage paint scheme is traveling along a newly constructed gravel road through a forested area. The road appears freshly laid with crushed gravel surface, flanked by dense deciduous trees and exposed red-clay soil on the left embankment. The vehicle's headlights are illuminated, suggesting active operation."
dvids_7951537.jpg,7951537,Humvee training,2023-08-01,"FORT INDIANTOWN GAP, PENNSYLVANIA, US",6720x4480,Photo by Spc. Aliyah Vivier,PUBLIC DOMAIN,https://www.dvidshub.net/image/7951537/humvee-training,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (High Mobility Multipurpose Wheeled Vehicle), commonly known as a Humvee, is parked on the edge of a gravel road with its right-side wheels resting on rocky terrain. The vehicle is painted in a woodland camouflage pattern of green and brown. The setting is a forested area with a narrow gravel road cutting through dense deciduous and coniferous trees."
dvids_6710451.jpg,6710451,Directing the Humvee,2020-09-12,"JOINT BASE MCGUIRE-DIX-LAKEHURST, NEW JERSEY, US",6016x4016,Photo by Senior Airman Maria Rella,PUBLIC DOMAIN,https://www.dvidshub.net/image/6710451/directing-humvee,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A uniformed military personnel wearing a face mask stands beside a camouflage-painted HMMWV (Humvee) in front of a large military hangar. An American flag is visible inside the open hangar in the background. The scene appears to be at a military installation or airfield. Review subject prominence, occlusion, and view angle before labeling."
dvids_6330523.jpg,6330523,Humvee sunset,2020-08-20,"FORT HOOD, TEXAS, US",1152x1536,Photo by Capt. Travis Mueller,PUBLIC DOMAIN,https://www.dvidshub.net/image/6330523/humvee-sunset,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) is parked in an open grassy field during golden hour, with the sun low on the horizon creating a warm, hazy backlit atmosphere. The vehicle appears to be in desert/tan camouflage paint with visible unit markings partially readable as 'HQ-'. The low-angle ground-level shot through wild grasses creates a dramatic compositional effect with lens flare artifacts visible."
dvids_5008013.jpg,5008013,Army Humvee,2018-12-11,"FORT BENNING, GEORGIA, US",6000x4000,Photo by Lara Poirrier,PUBLIC DOMAIN,https://www.dvidshub.net/image/5008013/army-humvee,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) painted in desert tan is traveling on a paved road in what appears to be a training environment. A soldier in combat helmet and camouflage uniform is manning a crew-served weapon mounted on the roof turret. The vehicle markings 'DOTS' and 'GT113' are visible on the front bumper. Review subject prominence, occlusion, and view angle before labeling."
dvids_4383235.jpg,4383235,Humvee Blues,2018-05-04,"KISSIMMEE, FLORIDA, US",5389x3714,Photo by Sgt. John Carkeet IV,PUBLIC DOMAIN,https://www.dvidshub.net/image/4383235/humvee-blues,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) marked 'HQ16' is displayed on a grass field at dusk or nighttime, illuminated by blue LED lights placed underneath the vehicle. A soldier in camouflage uniform and patrol cap stands in the open cargo area of the vehicle. The setting appears to be a public military display or community event, with an American flag, palm trees, and a multi-story building visible in the background. Review subject prominence, occlusion, and view angle before labeling."
dvids_2907904.jpg,2907904,HUMVEE Clouds,2016-10-08,"ORCHARD, IDAHO, US",5184x3456,Photo by Capt. Brian Harris,PUBLIC DOMAIN,https://www.dvidshub.net/image/2907904/humvee-clouds,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A tan/desert-colored military HMMWV (Humvee) is driving at speed across an arid, flat terrain, kicking up a large dust cloud behind it. The vehicle is equipped with a radio antenna and appears to be in an open, semi-arid landscape under a clear blue sky. The image captures dynamic motion with sharp focus on the vehicle against a blurred dust trail."
dvids_2705358.jpg,2705358,A Humvee for the Parade,2016-07-04,"VILLA PARK, ILLINOIS, US",4288x2848,Photo by Spc. Brianna Saville,PUBLIC DOMAIN,https://www.dvidshub.net/image/2705358/humvee-parade,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A U.S. Army soldier stands in the turret hatch of a tan HMMWV (Humvee) military vehicle during what appears to be a public parade. The vehicle bears markings for the '416th Theater En[gineer Brigade]' on a banner draped across the front bumper. A small American flag is mounted on the vehicle, and spectators are visible in the background. Review subject prominence, occlusion, and view angle before labeling."
dvids_8437404.jpg,8437404,HMMWV Offload,2024-05-26,"KUANTAN (TANJONG GELANG), MY",3005x2254,Photo by Petty Officer 2nd Class Evan Diaz,PUBLIC DOMAIN,https://www.dvidshub.net/image/8437404/hmmwv-offload,"Outdoor HMMWV exterior candidate for drone-style vehicle-part detection. A military HMMWV (Humvee) is positioned inside the cargo bay of what appears to be a naval vessel or landing craft, facing forward toward the ramp opening. The vehicle is olive drab green with headlights illuminated and carries equipment including cases and gear strapped to its roof rack. A placard on the front grille reads 'ZERO HUNT' in red lettering. Review subject prominence, occlusion, and view angle before labeling."
