annotation_id,cvat_image_id,cvat_box_index,source_image,source_image_sha256,component_class_source,component_class,component_group,damage_state_source,damage_level,box_x1,box_y1,box_x2,box_y2,box_width,box_height,box_area,occluded,annotation_source,split
HCVAT_C4111818C2DE46EA,1,1,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,883.27,571.15,977.20,735.73,93.93,164.58,15459.00,0,manual,
HCVAT_7C0B685691F77AB1,1,2,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1388.63,610.60,1534.40,779.30,145.77,168.70,24591.40,0,manual,
HCVAT_25A8A6FBA3C47D63,1,3,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,engine_bay,engine_bay,structure,intact,no_visible_damage,1063.34,488.86,1546.50,616.60,483.16,127.74,61718.86,0,manual,
HCVAT_FB871FF8CB131F46,1,4,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1066.25,586.64,1194.04,788.40,127.79,201.76,25782.91,0,manual,
HCVAT_C3CE9E30821A25B3,1,5,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,windshield,windshield,structure,intact,no_visible_damage,1065.28,407.53,1394.44,472.40,329.16,64.87,21352.61,0,manual,
HCVAT_C111E7D868FABFA1,1,6,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,1009.13,270.06,1223.08,374.62,213.95,104.56,22370.61,0,manual,
HCVAT_32005699580E4E45,1,7,commons_105139955.jpg,da50e1a3392d3714d8bfbc3dbc55a47ec9a940bd7d34459f450c3ed47a082377,door,door,structure,intact,no_visible_damage,979.50,416.25,1048.82,652.60,69.32,236.35,16383.78,0,manual,
HCVAT_BCADD0EF61423CF0,2,1,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,258.83,695.07,496.02,918.70,237.19,223.63,53042.80,0,manual,
HCVAT_65C40D1195996A58,2,2,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,door,door,structure,intact,no_visible_damage,1211.46,494.67,1364.43,728.95,152.97,234.28,35837.81,0,manual,
HCVAT_E8FBA49C93E375E5,2,3,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,944.60,698.94,1168.10,915.80,223.50,216.86,48468.21,0,manual,
HCVAT_0FF5F68D20FA656F,2,4,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,692.55,355.26,816.50,465.62,123.95,110.36,13679.12,0,manual,
HCVAT_74B225AF1DB69A8A,2,5,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,door,door,structure,intact,no_visible_damage,542.49,518.87,725.47,788.98,182.98,270.11,49424.73,0,manual,
HCVAT_0EEA49360986033A,2,6,commons_105139982.jpg,24ec0ae3c2e5da1adf517a5f37f284234d4fae35ca9ab6b7cc4a15963da1836d,engine_bay,engine_bay,structure,intact,no_visible_damage,265.61,588.57,521.19,668.93,255.58,80.36,20538.41,0,manual,
HCVAT_5C37EAC1B35E3626,3,1,commons_105160340.jpg,d3a26d834b3dc668e3bf0ab50ad137bf58e60cf19bfcdaebbeaa63ae56634e35,engine_bay,engine_bay,structure,intact,no_visible_damage,794.19,610.23,1225.80,773.20,431.61,162.97,70339.48,0,manual,
