annotation_id,cvat_image_id,cvat_box_index,source_image,source_image_sha256,component_class_source,component_class,component_group,damage_state_source,damage_level,box_x1,box_y1,box_x2,box_y2,box_width,box_height,box_area,occluded,annotation_source,split
SCVAT_07D185BCFADA39E3,0,1,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,436.89,609.79,763.73,963.13,326.84,353.34,115485.65,0,manual,
SCVAT_D5EB7B9814435D2E,0,2,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1210.96,586.23,1414.08,844.73,203.12,258.50,52506.52,0,manual,
SCVAT_DA10DFF369808B16,0,3,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,wheel_tire,wheel_tire,mobility,unknown,unobservable,859.79,742.13,1017.00,798.38,157.21,56.25,8843.06,0,manual,
SCVAT_3D97803F9BACA206,0,4,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,66.02,641.37,345.01,887.82,278.99,246.45,68757.09,0,manual,
SCVAT_345ADA3C63509304,0,5,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,windshield,windshield,structure,intact,no_visible_damage,448.20,296.55,888.49,459.62,440.29,163.07,71798.09,0,manual,
SCVAT_2BBCF45B7001E995,0,6,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,engine_bay,engine_bay,structure,intact,no_visible_damage,62.76,458.13,855.88,640.48,793.12,182.35,144625.43,0,manual,
SCVAT_B4B7BB30E61B97A6,0,7,01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,comms_equipment,comms_equipment,mission_equipment,intact,no_visible_damage,399.66,286.68,459.00,466.13,59.34,179.45,10648.56,0,manual,
SCVAT_D001F53C2E251E53,1,1,02_weapon_station_severe.png,4f44b28380dfa52093a083575ee1548f6c7761e4d1b888a368acb1451932807f,door,door,structure,intact,no_visible_damage,827.92,381.66,1068.86,771.16,240.94,389.50,93846.13,0,manual,
SCVAT_8C03254C223D9D5F,1,2,02_weapon_station_severe.png,4f44b28380dfa52093a083575ee1548f6c7761e4d1b888a368acb1451932807f,door,door,structure,intact,no_visible_damage,1068.80,376.54,1245.68,729.52,176.88,352.98,62435.10,0,manual,
SCVAT_66FC6F718509200F,1,3,02_weapon_station_severe.png,4f44b28380dfa52093a083575ee1548f6c7761e4d1b888a368acb1451932807f,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,522.34,652.65,814.53,983.21,292.19,330.56,96586.33,0,manual,
SCVAT_401F1C268E0C0987,1,4,02_weapon_station_severe.png,4f44b28380dfa52093a083575ee1548f6c7761e4d1b888a368acb1451932807f,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1258.29,582.69,1431.62,846.97,173.33,264.28,45807.65,0,manual,
