annotation_id,cvat_image_id,cvat_box_index,source_image,source_image_sha256,component_class_source,component_class,component_group,damage_state_source,damage_level,box_x1,box_y1,box_x2,box_y2,box_width,box_height,box_area,occluded,annotation_source,split
SCVAT_AF96DD31010BE28B,0,1,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,wheel_tire,wheel_tire,mobility,destroyed,severe_visible_damage,512.42,637.07,760.82,871.17,248.40,234.10,58150.44,0,manual,
SCVAT_585C2B67CB3A7C6A,0,2,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,wheel_tire,wheel_tire,mobility,degraded,possible_damage,1165.60,519.12,1334.48,721.95,168.88,202.83,34253.93,0,manual,
SCVAT_D119BDA2FD549EF0,0,3,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,wheel_tire,wheel_tire,mobility,unknown,unobservable,203.25,613.83,355.15,747.86,151.90,134.03,20359.16,0,manual,
SCVAT_B2C0FD80A0FD3382,0,4,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,windshield,windshield,structure,degraded,possible_damage,476.67,315.39,865.37,463.72,388.70,148.33,57655.87,0,manual,
SCVAT_0714C221012E189B,0,5,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,engine_bay,engine_bay,structure,intact,no_visible_damage,165.72,427.08,856.43,671.91,690.71,244.83,169106.53,0,manual,
SCVAT_3E2993A4FC912C14,0,6,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,610.71,107.19,1038.71,294.84,428.00,187.65,80314.20,0,manual,
SCVAT_3507C82A5D389E61,0,7,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,door,door,structure,intact,no_visible_damage,886.81,344.88,1075.35,668.34,188.54,323.46,60985.15,0,manual,
SCVAT_7C838B25A0ED7E80,0,8,exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,door,door,structure,intact,no_visible_damage,1083.81,339.29,1234.65,633.51,150.84,294.22,44380.14,0,manual,
SCVAT_5987ACA67B35ABAC,1,1,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,wheel_tire,wheel_tire,mobility,unknown,unobservable,320.22,621.79,665.12,968.48,344.90,346.69,119573.38,0,manual,
SCVAT_B80D822D4D9B9DF9,1,2,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1167.20,564.51,1365.66,802.28,198.46,237.77,47187.83,0,manual,
SCVAT_07F58624F5A27DC1,1,3,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,112.91,689.69,318.43,823.73,205.52,134.04,27547.90,0,manual,
SCVAT_F45AEE5BF5ECEA81,1,4,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,windshield,windshield,structure,intact,no_visible_damage,463.18,334.06,798.26,455.59,335.08,121.53,40722.27,0,manual,
SCVAT_A0F7EDCCC9961F0F,1,5,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,engine_bay,engine_bay,structure,intact,no_visible_damage,73.60,459.16,783.07,690.59,709.47,231.43,164192.64,0,manual,
SCVAT_1C8F628D8FA15013,1,6,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,607.93,108.53,1048.09,312.17,440.16,203.64,89634.18,0,manual,
SCVAT_FE6F67B63ABFD7A9,1,7,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,door,door,structure,destroyed,severe_visible_damage,830.03,342.74,1132.31,803.66,302.28,460.92,139326.90,0,manual,
SCVAT_46760C2ACBC64F17,1,8,exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,door,door,structure,intact,no_visible_damage,1037.13,356.01,1259.22,685.98,222.09,329.97,73283.04,0,manual,
SCVAT_A1D4F2A7DAC33BEB,2,1,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,door,door,structure,intact,no_visible_damage,975.23,372.34,1123.48,730.00,148.25,357.66,53023.10,0,manual,
SCVAT_E909DC6CA0F7194D,2,2,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,door,door,structure,intact,no_visible_damage,1135.02,381.51,1280.39,701.15,145.37,319.64,46466.07,0,manual,
SCVAT_981AEBF983AE760C,2,3,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,539.69,645.20,839.66,985.55,299.97,340.35,102094.79,0,manual,
SCVAT_FDF3EF1598D406B0,2,4,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,146.84,675.14,399.51,872.49,252.67,197.35,49864.42,0,manual,
SCVAT_92B9405591662675,2,5,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1200.78,579.43,1366.35,806.72,165.57,227.29,37632.41,0,manual,
SCVAT_7A62D82DE5EFD04D,2,6,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,engine_bay,engine_bay,structure,intact,no_visible_damage,134.72,491.75,923.89,724.23,789.17,232.48,183466.24,0,manual,
SCVAT_E86C74742B831FAE,2,7,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,windshield,windshield,structure,intact,no_visible_damage,479.12,356.76,930.23,474.44,451.11,117.68,53086.62,0,manual,
SCVAT_D14043546FC28818,2,8,exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,609.49,123.70,1088.29,340.61,478.80,216.91,103856.51,0,manual,
SCVAT_E7884C51B660AC1A,3,1,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,weapons_station,weapon_station,mission_equipment,intact,no_visible_damage,591.23,120.95,1056.76,325.58,465.53,204.63,95261.40,0,manual,
SCVAT_18515531F9DD60C0,3,2,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,wheel_tire,wheel_tire,mobility,degraded,possible_damage,468.81,647.25,772.62,967.14,303.81,319.89,97185.78,0,manual,
SCVAT_C9FC014F2A6CCEEA,3,3,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,wheel_tire,wheel_tire,mobility,intact,no_visible_damage,1145.22,573.09,1313.21,789.32,167.99,216.23,36324.48,0,manual,
SCVAT_B90DF0A632526FD8,3,4,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,wheel_tire,wheel_tire,mobility,unknown,unobservable,144.46,650.83,383.03,832.22,238.57,181.39,43274.21,0,manual,
SCVAT_908D17FF8B46F48E,3,5,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,windshield,windshield,structure,destroyed,severe_visible_damage,489.36,343.45,884.31,461.39,394.95,117.94,46580.40,0,manual,
SCVAT_A63391887F7A6C1D,3,6,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,engine_bay,engine_bay,structure,intact,no_visible_damage,111.39,468.54,871.80,699.08,760.41,230.54,175304.92,0,manual,
SCVAT_EBFB66590F61D4A6,3,7,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,door,door,structure,degraded,possible_damage,911.07,358.34,1082.58,740.75,171.51,382.41,65587.14,0,manual,
SCVAT_122E805168352765,3,8,exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,door,door,structure,intact,no_visible_damage,1077.10,369.31,1234.15,708.35,157.05,339.04,53246.23,0,manual,
SCVAT_D90920D1FAE6640A,4,1,exec-16aa96fa-5269-4ea5-9ecf-e6516adbe73f.png,1df851dae8aceb674a6d1de1bb1c0246b54cd8713dd49cffb45a5b1f293a7c07,door,door,structure,intact,no_visible_damage,910.00,333.91,1092.75,682.95,182.75,349.04,63787.06,0,manual,
