file_name,sha256,size_bytes,width,height,annotation_count,domain,source_type,generator,generator_model,generation_session_id,prompt_id,vehicle_family,intended_condition,generation_group_id,parent_source_image,review_status,split
exec-0df7a36d-2319-49f4-9d86-ebd130b25d3f.png,a676bc56ac572b9fefdce0e87664726444cfdc3bcb27fa59aac3bb91ff5a5a38,2692999,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,01_m1114_intact,M1114,all tracked components intact,01a04411-3958-7240-9f6b-677f4af4af60:01_m1114_intact,,cvat_annotations_received_pending_synthetic_qa,
exec-648b95f6-2e68-4b27-a8df-18094e847e9d.png,e65a8216743301a100851c0e65446ddd0ada9b0a577fbd61fef5b0cbba01eada,2499622,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,02_m1151_intact,M1151,all tracked components intact,01a04411-3958-7240-9f6b-677f4af4af60:02_m1151_intact,,cvat_annotations_received_pending_synthetic_qa,
exec-8a201254-3ae8-48ab-a77c-bdcae250f6b4.png,86802abb2b512d6a5c2ff856de8308818872d29624d52c780c00c1869e42d2f5,2661121,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,03_m1114_flat_tires,M1114,two severely deflated tires,01a04411-3958-7240-9f6b-677f4af4af60:03_m1114_flat_tires,,cvat_annotations_received_pending_synthetic_qa,
exec-9c293926-2fc4-4432-9b4c-eb4ca9fe3f4c.png,9392fdeba2df0f73409fd19cb498b267adaeffae97da7b7df83fc9c491aaef9e,2512518,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,04_m1151_windshield_cracked,M1151,extensively cracked windshield,01a04411-3958-7240-9f6b-677f4af4af60:04_m1151_windshield_cracked,,cvat_annotations_received_pending_synthetic_qa,
exec-e561515d-18c0-4b32-b0c5-a2ff442f4e9b.png,05ccd13c131a8613aacf6873d3b12a72e31c2d746e24504bc732595b45820539,2581613,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,05_m1114_door_damage,M1114,dented and perforated armored door,01a04411-3958-7240-9f6b-677f4af4af60:05_m1114_door_damage,,cvat_annotations_received_pending_synthetic_qa,
exec-ecd5ba16-f4b5-4258-8ded-eafa009e14d2.png,81e34510be037ee1b5491698a6cd26573463c7a2546cae37d1e4c7ba596bcf13,2726836,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,06_m1151_engine_damage,M1151,buckled hood and soot-blackened engine bay,01a04411-3958-7240-9f6b-677f4af4af60:06_m1151_engine_damage,,cvat_annotations_received_pending_synthetic_qa,
exec-9570f9f9-aa99-43b1-a0f2-daf38916087f.png,a1c13601c6129b25bf54ac808f5fde5577c9b95f1ba2ca7d437e6d97e0065218,2695803,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,07_m1114_windshield_shattered,M1114,shattered windshield,01a04411-3958-7240-9f6b-677f4af4af60:07_m1114_windshield_shattered,,cvat_annotations_received_pending_synthetic_qa,
exec-a064c47e-b677-44c6-a092-8ff20ae00455.png,1c03ac034328e35fcf692a10f7bebc7353b35dea23d0325c74a50b6befe74c12,2383854,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,08_m1151_destroyed_tires,M1151,two shredded front tires,01a04411-3958-7240-9f6b-677f4af4af60:08_m1151_destroyed_tires,,cvat_annotations_received_pending_synthetic_qa,
exec-7a769a2d-162b-4b3e-8684-c6a4e4781d3d.png,b458b00f673ced1dbb505ac738b2ccde4901d6750133f8f395c46d14669b96b1,2485639,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,09_m1114_hood_burn,M1114,scorched hood and engine bay,01a04411-3958-7240-9f6b-677f4af4af60:09_m1114_hood_burn,,cvat_annotations_received_pending_synthetic_qa,
exec-449dfdae-8d70-42eb-a4a2-8538caf81c49.png,781a52627db4c523555a241ce42df1b1b3b6b20b9aa2bd2f33153d48a1bd4242,2593109,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,10_m1151_door_missing,M1151,right rear armored door torn off,01a04411-3958-7240-9f6b-677f4af4af60:10_m1151_door_missing,,cvat_annotations_received_pending_synthetic_qa,
