class,train_instances,val_instances,test_instances,scratch_val_ap,pretrained_val_ap,val_delta,test_ap
back_bumper,590,46,53,59.204,77.499,18.295,72.319
back_door,869,66,52,59.224,75.127,15.903,79.992
back_glass,727,55,60,57.522,74.210,16.688,79.205
back_left_door,181,21,23,36.944,47.577,10.633,45.251
back_left_light,193,28,27,18.108,32.764,14.656,37.570
back_light,1322,80,89,44.332,57.440,13.108,69.292
back_right_door,158,18,20,36.989,34.284,-2.705,39.541
back_right_light,167,21,20,29.676,36.353,6.677,39.017
front_bumper,1376,107,105,70.104,81.455,11.351,82.388
front_door,985,74,61,64.473,82.811,18.338,83.820
front_glass,1448,108,104,80.057,90.753,10.696,91.568
front_left_door,195,22,28,36.285,44.983,8.698,54.777
front_left_light,344,50,43,27.374,38.485,11.111,36.531
front_light,2192,121,112,52.086,63.081,10.995,63.589
front_right_door,170,20,24,32.814,48.195,15.381,44.173
front_right_light,340,42,37,31.197,33.620,2.423,31.957
hood,1451,108,105,62.045,82.099,20.054,85.339
left_mirror,350,43,43,31.384,37.858,6.474,40.743
object,5,2,0,0.000,0.000,0.000,
right_mirror,346,46,42,27.156,38.638,11.482,42.208
tailgate,68,9,9,44.203,73.026,28.823,68.356
trunk,121,14,15,40.014,64.829,24.815,54.249
wheel,612,76,78,29.805,40.129,10.324,34.498
